ID,userID,date,Followers,Friends,Statuses,Lat,Long,Text,Class,BoroCode,BoroName,NTAName,CenstracID
1232,557557854,2012-10-28 10:43:00,715,962,1235,40.69689459,-73.99352059, Church is on this morning. 24 hours ; counting til hurricane sandy hits. Let's pray ; prepare to respond to the needs of our communities ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
2315,24999101,2012-10-28 17:25:00,943,929,21102,40.69580229,-73.99390697, It is packed here. Everyone is stocking up for Sandy. ( Pharmacy) ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
2754,22682422,2012-10-28 18:35:00,738,1781,18735,40.69417821,-73.99631108,  Waiting on #HurricaneSandy a few blocks from the evacuation zone. All stocked up on supplies #GoGiants #RallyCain ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
958,9502382,2012-10-27 23:08:00,432,286,2009,40.68641519,-73.98518972,  trader Joe's was totally insanity earlier this afternoon. A line out the door. #Sandy ,Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,27
2852,14994922,2012-10-28 18:52:00,486,1286,13596,40.61702405,-74.03090576, People are being assholes at the grocery store. Apparently manners don't count during a crisis #frankenstorm #Sandy ,Caution and Advice,3,Brooklyn,Bay Ridge,29
4742,14994922,2012-10-28 23:02:00,484,1275,13586,40.61732367,-74.03083561, We ain't getting any #bread #frankenstorm #hurricanesandy #bayridge #brooklyn #nyc  CityMarket ,Caution and Advice,3,Brooklyn,Bay Ridge,29
597,61663,2012-10-27 15:24:00,19369,1559,13783,40.682769,-73.995768, The Hurricane Sandy Crisis Response Map is now up on Google Maps #hurricanesandy ,Caution and Advice,3,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,31
2354,221091496,2012-10-28 17:32:00,169,597,437,40.68480301,-73.99475861, This #Sandy chick has quite the following. Lines outside #TraderJoes on Court St. #Brooklyn ,Caution and Advice,3,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,31
1970,18744144,2012-10-28 16:30:00,420,916,6809,40.68491424,-73.99159137," Citizens of Brooklyn preparing for the zombie apocalypse...er, Hurricane Sandy. ( Foodmarkets) ",Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32
2503,221091496,2012-10-28 17:56:00,168,597,437,40.68474579,-73.99454498, Check out Sandy's line outside Trader Joe's!!! ,Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32
2903,10546842,2012-10-28 19:00:00,3189,2489,25147,40.68491424,-73.99159137, Welcome to Brooklyn Sandy. I hope you don't need bread or milk.   Foodmarkets ,Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32
3845,221091496,2012-10-28 21:12:00,169,597,437,40.68697357,-73.99190521," Our phone just told us we have to leave Gowanus. 1st our moms, then the news, now technology. Damn u #Sandy ",Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32
4207,22848758,2012-10-28 22:00:00,1913,701,8724,40.68449857,-73.99191141, Important (and stressful) decisions being made at the cheese store. #hurricanesandy  Bklyn ,Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32
3369,154012144,2012-10-28 20:10:00,300,471,2407,40.66044233,-73.99808478," Meanwhile, in the bread aisle... #hurricanesandy #preptime ",Caution and Advice,3,Brooklyn,Sunset Park West,38
2866,18730817,2012-10-28 18:54:00,272,86,657,40.640893,-74.00273, Stocking up on candles. #hurricanesandy #Hurricane #hurricanesandy2012   ,Caution and Advice,3,Brooklyn,Sunset Park East,41
1428,23953349,2012-10-28 14:14:00,2239,522,5874,40.67509961,-73.98139884," Ready for hurricane Sandy: canned food, cranky radio and flash light + tons of  other food.  Slope ",Caution and Advice,3,Brooklyn,Park Slope-Gowanus,47
952,591146162,2012-10-27 22:59:00,29,37,731,40.6261015,-74.023079, Getting ready for #sandy the hurricane. Its even powerful than #irene ,Caution and Advice,3,Brooklyn,Bay Ridge,48
347,26499335,2012-10-26 22:29:00,2227,1859,24233,40.66777,-73.98781," Alright, Sandy... Come on. We're ready. #hunterboots #NYCessential cc:   ",Caution and Advice,3,Brooklyn,Park Slope-Gowanus,50
5018,26499335,2012-10-28 23:42:00,2232,1860,24235,40.66775,-73.98776, Hurricane window prep! Hopefully Sandy is kind. #hurricanesandy #windowsaretaped #stormready ,Caution and Advice,3,Brooklyn,Park Slope-Gowanus,50
5064,26499335,2012-10-28 23:49:00,2232,1860,24235,40.66777,-73.98772, Uhm  Forget batteries: our #Sandy tip is to stock up on dry shampoo. Save those pots of water for cooking pasta! ,Caution and Advice,3,Brooklyn,Park Slope-Gowanus,50
5141,26499335,2012-10-28 23:59:00,2232,1860,24238,40.66777,-73.98783, We are hunkered down and ready for #Sandy. Everyone stay safe. w/  ,Caution and Advice,3,Brooklyn,Park Slope-Gowanus,50
1510,22631109,2012-10-28 14:41:00,593,393,9039,40.67307638,-73.97660655, Park Slope stocks up for Sandy. This is what panic looks like--when 2/3 of the population are on antidepressants. ,Caution and Advice,3,Brooklyn,Park Slope-Gowanus,54
1603,12249712,2012-10-28 15:11:00,937,997,3995,40.67309959,-73.97654944," Park Slope panics pre #Sandy. No Pepperidge Farm organic multigrain gluten-free bread. Shizz gettin' real, yo! ",Caution and Advice,3,Brooklyn,Park Slope-Gowanus,54
1989,7482,2012-10-28 16:33:00,9049,565,37398,40.672731,-73.976772, Picking up some train tracks for Elise. We all need fun stuff to do when we're stuck inside! #sandy ,Caution and Advice,3,Brooklyn,Park Slope-Gowanus,54
1128,84695123,2012-10-28 03:25:00,141,93,1538,40.61552779,-74.00551463, New York area preparing for Hurricane Sandy ,Caution and Advice,3,Brooklyn,Bensonhurst West,58
1316,64334709,2012-10-28 13:14:00,232,235,12050,40.61669334,-74.00027431, Just read that hurricane sandy is the largest hurricane to hit the U.S. #wow ,Caution and Advice,3,Brooklyn,Bensonhurst West,59
1457,17050114,2012-10-28 14:23:00,555,365,1411,40.68729804,-73.96782707, Sethie and I are making inappropriate jokes about the evacuation of fire island for sandy. Heyyyyyy ,Caution and Advice,3,Brooklyn,Clinton Hill,65
2958,20521883,2012-10-28 19:07:00,329,238,826,40.671359,-73.957709, Waiting in line for hurricane Sandy supplies. ( ; Betty's Food Market w/ 4 others) [pic]: ,Caution and Advice,3,Brooklyn,Crown Heights North,72
5124,181252285,2012-10-28 23:57:00,476,274,3855,40.67252222,-73.9548506, Fuck you  ! I've got enough beer to last a month. #HurricaneSandy #AintGotShit ,Caution and Advice,3,Brooklyn,Crown Heights North,72
2394,33298222,2012-10-28 17:39:00,1283,1406,43571,40.640127,-73.994181, Got a #Sony small portable battery operated radio for $20 for the #Hurricane #Sandy ( Deli And Grocery) ,Caution and Advice,3,Brooklyn,Borough Park,75
4624,102277427,2012-10-28 22:48:00,1397,97,2486,40.63939194,-73.99583513, Thanks to our partners at  for developing this map of hurricane evacuation zones and shelters:   #sandy ,Caution and Advice,3,Brooklyn,Borough Park,75
2417,22444101,2012-10-28 17:42:00,470,1124,1411,40.68519561,-73.95428433, Loooong lines at the grocery stores. #Frankenstorm #Sandy ,Caution and Advice,3,Brooklyn,Clinton Hill,77
3979,277837839,2012-10-28 21:30:00,126,161,3952,40.68640889,-73.95965326, Very sound hurricane advice there from  #hurricanesandy #SCNY ,Caution and Advice,3,Brooklyn,Clinton Hill,78
3309,18247274,2012-10-28 20:02:00,1305,1457,24621,40.679675,-73.9480217,  well I guess. I have two events to attend with my employer then I head home. Are you safe and prepared? #Sandy ,Caution and Advice,3,Brooklyn,Crown Heights North,86
3843,70843031,2012-10-28 21:11:00,1172,459,45811,40.68566743,-73.94770682, (High wind warning in effect) #sandy  ,Caution and Advice,3,Brooklyn,Bedford,88
4631,28642569,2012-10-28 22:49:00,771,2028,13046,40.61249562,-73.98887973, Cabernet and Italian bakery cookies. #hurricane #sustenance #sandy #nyc #brooklyn #b  Brooklyn ,Caution and Advice,3,Brooklyn,Bensonhurst West,98
3528,17797770,2012-10-28 20:33:00,442,851,861,40.68327853,-73.9440432," #Sandy #NYC prep in 20 mins: ditched grocery store for fruit market, bodega, liquor store, filled pots with water. ",Caution and Advice,3,Brooklyn,Bedford,99
1488,20825718,2012-10-28 14:36:00,314,656,8337,40.60497105,-73.988545," Ready for #frankenstorm #perfectstorm #Sandy !!! Got water, batteries, ; wine of course  Definitely gonna get stuck I'm Brooklyn lol ",Caution and Advice,3,Brooklyn,Bensonhurst West,102
3233,20825718,2012-10-28 19:51:00,314,656,8336,40.60489856,-73.98834127, 5 MacBook Pro's. 5 iPhones. And 1 iPad charging in preperation for #Frankenstorm  #BRINGITONSANDY ,Caution and Advice,3,Brooklyn,Bensonhurst West,102
349,624398844,2012-10-26 22:34:00,111,295,6401,40.60764477,-73.99261987, I prepared for hurricane sandy by buying wine n junk food,Caution and Advice,3,Brooklyn,Bensonhurst West,103
3059,624398844,2012-10-28 19:24:00,111,295,6401,40.60755248,-73.99211927, Sandy is comin b safe all!!!! ,Caution and Advice,3,Brooklyn,Bensonhurst West,103
1389,70843031,2012-10-28 13:57:00,1170,458,45841,40.68238154,-73.93786968," MT  . says Hurricane #Sandy landfall is NJ coastline - """"worst case scenario"""" for the NJ-NY region   #fb ",Caution and Advice,3,Brooklyn,Stuyvesant Heights,104
1486,278673763,2012-10-28 14:34:00,191,218,3264,40.60791014,-73.99828348, The list of things I need for hurricane sandy. Nba2k13  box of Oreos  ,Caution and Advice,3,Brooklyn,Bensonhurst West,109
333,200590570,2012-10-26 22:01:00,879,1059,17322,40.6800857,-73.9288937, Frankenstein.Hurricane Sandy is on Its way to NY ,Caution and Advice,3,Brooklyn,Crown Heights North,114
1238,518787085,2012-10-28 11:25:00,483,634,3916,40.68148792,-73.93242002," Brooklyn, those with outdoor space; take the patio furniture inside...we aren't used to hurricanes so it's easy to forget! #Sandy ",Caution and Advice,3,Brooklyn,Crown Heights North,114
1262,200590570,2012-10-28 12:21:00,880,1059,17322,40.6800884,-73.9288911, Good mornin twit fam 2 bless 2 be stress Sun stay safe during SANDY #safe ,Caution and Advice,3,Brooklyn,Crown Heights North,114
