ID,userID,date,Followers,Friends,Statuses,Lat,Long,Text,Class,BoroCode,BoroName,NTAName,CenstracID
8323,761163,2012-10-29 14:22:00,1031,1059,6700,40.69510631,-73.9952298, Line to get into Montague Street Key Food. #sandy   Food Supermarket ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
8612,15743098,2012-10-29 14:51:00,458,655,3336,40.69501751,-73.99506327, Waiting in line to get IN to the grocery store. #sandy ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
8832,14130186,2012-10-29 15:14:00,746,952,6786,40.697542,-73.994728, Thanks for the heads up. #sandy ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
11015,22682422,2012-10-29 18:21:00,739,1781,18723,40.69499969,-73.9948349, Boarded up in Brooklyn #hurricanesandy   2012 ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
12148,361667370,2012-10-29 19:51:00,86,113,6673,40.69788531,-73.99369257,  Hurricane Sandy from Space   this is what I'm going through people !!! ,Caution and Advice,3,Brooklyn,Brooklyn Heights-Cobble Hill,25
6800,18154626,2012-10-29 04:29:00,692,650,8453,40.6478192,-74.0142077, Provisions for Sandy  ,Caution and Advice,3,Brooklyn,Sunset Park West,26
16474,15431478,2012-10-30 00:40:00,1205,1175,7432,40.68511512,-73.98550232," Just got another ALERT TXT update, instructing locals to take shelter #sandy   Hill ",Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,27
21373,22848758,2012-10-30 15:20:00,1912,700,8724,40.68324671,-73.99636918," #Sandy ""if a tree falls on you, and you're in bed, and you're dead, 911 isn't gonna help you."" --Bloomberg ",Caution and Advice,3,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,31
5735,15066651,2012-10-29 01:31:00,8533,907,14452,40.685268,-73.991444, Hunkering down ; getting ready for #hurricanesandy   Pub ; Grill ,Caution and Advice,3,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32
5333,564898968,2012-10-29 00:28:00,5,7,8,40.64553199,-74.01238511," live update Hurricane Sandy.  Park, Brooklyn http://t.co/E5fTprmp ",Caution and Advice,3,Brooklyn,Sunset Park West,35
11337,190172242,2012-10-29 18:47:00,914,308,1778,40.65655034,-74.00341272, Supply run in Brooklyn. 5 hours until #sandy hits us. Crazy to see New York looking lik  BPM Brooklyn ,Caution and Advice,3,Brooklyn,Sunset Park West,38
7882,895108675,2012-10-29 13:22:00,284,298,2576,40.6388795,-73.9975165, Everyone in the path of sandy please be safe n stuff. Have a great storm day#hurricanesandy ,Caution and Advice,3,Brooklyn,Borough Park,43
